borough,police_precinct,precinct_total_pop,total_drug_complaints,total_shooting_incidents,complaints_per_10k_residents,shootings_per_10k_residents
Bronx,40,91497,639,690,69.84,75.41
Bronx,41,52246,149,325,28.52,62.21
Bronx,42,79762,375,611,47.01,76.6
Bronx,43,172122,1092,562,63.44,32.65
Bronx,44,146441,364,737,24.86,50.33
Bronx,45,120833,332,145,27.48,12.0
Bronx,46,128200,494,668,38.53,52.11
Bronx,47,152374,858,688,56.31,45.15
Bronx,48,83266,196,568,23.54,68.22
Bronx,49,114712,292,240,25.46,20.92
Bronx,50,101720,111,125,10.91,12.29
Bronx,52,139307,986,404,70.78,29.0
Brooklyn,60,104278,241,240,23.11,23.02
Brooklyn,61,159645,225,105,14.09,6.58
Brooklyn,62,181981,122,44,6.7,2.42
Brooklyn,63,108646,108,198,9.94,18.22
Brooklyn,66,191382,66,34,3.45,1.78
Brooklyn,67,155252,164,895,10.56,57.65
Brooklyn,68,124491,422,25,33.9,2.01
Brooklyn,69,84480,1006,356,119.08,42.14
Brooklyn,70,160664,136,302,8.46,18.8
Brooklyn,71,98429,101,396,10.26,40.23
Brooklyn,72,126230,370,75,29.31,5.94
Brooklyn,73,86468,117,1072,13.53,123.98
Brooklyn,75,183328,460,1133,25.09,61.8
Brooklyn,76,43694,105,130,24.03,29.75
Brooklyn,77,90744,470,594,51.79,65.46
Brooklyn,78,66664,121,59,18.15,8.85
Brooklyn,79,90263,315,690,34.9,76.44
Brooklyn,81,62722,57,570,9.09,90.88
Brooklyn,83,112634,437,360,38.8,31.96
Brooklyn,84,48196,150,97,31.12,20.13
Brooklyn,88,51421,201,220,39.09,42.78
Brooklyn,90,116836,325,228,27.82,19.51
Brooklyn,94,56247,193,60,34.31,10.67
Manhattan,1,66679,596,16,89.38,2.4
Manhattan,5,52568,456,43,86.74,8.18
Manhattan,6,62226,1229,19,197.51,3.05
Manhattan,7,56355,361,81,64.06,14.37
Manhattan,9,76443,281,86,36.76,11.25
Manhattan,10,50180,270,51,53.81,10.16
Manhattan,13,93640,274,40,29.26,4.27
Manhattan,14,20651,395,39,191.27,18.89
Manhattan,17,79126,77,7,9.73,0.88
Manhattan,18,54066,1006,41,186.07,7.58
Manhattan,19,208259,142,22,6.82,1.06
Manhattan,20,102624,115,31,11.21,3.02
Manhattan,23,73106,314,335,42.95,45.82
Manhattan,24,106460,379,78,35.6,7.33
Manhattan,25,47405,1317,315,277.82,66.45
Manhattan,26,49508,97,124,19.59,25.05
Manhattan,28,44781,696,271,155.42,60.52
Manhattan,30,60685,320,153,52.73,25.21
Manhattan,32,70942,304,492,42.85,69.35
Manhattan,33,76958,227,169,29.5,21.96
Manhattan,34,113062,825,245,72.97,21.67
Manhattan,114,202766,11,277,0.54,13.66
Queens,100,47913,45,134,9.39,27.97
Queens,101,67065,70,361,10.44,53.83
Queens,102,144215,300,141,20.8,9.78
Queens,103,105803,591,432,55.86,40.83
Queens,104,170190,263,77,15.45,4.52
Queens,105,188582,151,333,8.01,17.66
Queens,106,122441,357,156,29.16,12.74
Queens,107,151107,47392,74,3136.32,4.9
Queens,108,113200,296,63,26.15,5.57
Queens,109,247354,1779,97,71.92,3.92
Queens,110,172634,8640,121,500.48,7.01
Queens,111,116431,100,13,8.59,1.12
Queens,112,112070,743,14,66.3,1.25
Queens,113,120132,135,556,11.24,46.28
Queens,114,202766,768,277,37.88,13.66
Queens,115,171576,762,115,44.41,6.7
Staten Island,120,113008,238,410,21.06,36.28
Staten Island,121,118708,144,91,12.13,7.67
Staten Island,122,138982,279,50,20.07,3.6
Staten Island,123,98032,82,21,8.36,2.14
