year,month,month_name,month_date,total_drug_complaints,total_shooting_incidents
2020,1,January,2020-01-01,243,66
2020,2,February,2020-02-01,236,45
2020,3,March,2020-03-01,272,56
2020,4,April,2020-04-01,265,56
2020,5,May,2020-05-01,388,100
2020,6,June,2020-06-01,396,205
2020,7,July,2020-07-01,542,243
2020,8,August,2020-08-01,557,241
2020,9,September,2020-09-01,494,150
2020,10,October,2020-10-01,361,135
2020,11,November,2020-11-01,320,116
2020,12,December,2020-12-01,316,119
2021,1,January,2021-01-01,320,76
2021,2,February,2021-02-01,276,77
2021,3,March,2021-03-01,14,99
2022,2,February,2022-02-01,53,75
2022,3,March,2022-03-01,670,115
2022,4,April,2022-04-01,726,105
2022,5,May,2022-05-01,867,117
2022,6,June,2022-06-01,569,125
2022,7,July,2022-07-01,728,175
2022,8,August,2022-08-01,984,115
2022,9,September,2022-09-01,375,117
2022,10,October,2022-10-01,373,86
2022,11,November,2022-11-01,452,80
2022,12,December,2022-12-01,744,85
2023,1,January,2023-01-01,994,74
2023,2,February,2023-02-01,860,63
2023,3,March,2023-03-01,888,85
2023,4,April,2023-04-01,1886,71
2023,5,May,2023-05-01,1712,85
2023,6,June,2023-06-01,1522,104
2023,7,July,2023-07-01,2527,113
2023,8,August,2023-08-01,2469,87
2023,9,September,2023-09-01,2777,77
2023,10,October,2023-10-01,1162,78
2023,11,November,2023-11-01,1233,65
2023,12,December,2023-12-01,1162,72
2024,1,January,2024-01-01,1386,65
2024,2,February,2024-02-01,1952,53
2024,3,March,2024-03-01,1084,64
2024,4,April,2024-04-01,626,60
2024,5,May,2024-05-01,1426,88
2024,6,June,2024-06-01,3074,107
2024,7,July,2024-07-01,3276,91
2024,8,August,2024-08-01,3191,74
2024,9,September,2024-09-01,2251,91
2024,10,October,2024-10-01,1681,82
2024,11,November,2024-11-01,1505,68
2024,12,December,2024-12-01,1843,61
2025,1,January,2025-01-01,1657,50
2025,2,February,2025-02-01,1740,42
2025,3,March,2025-03-01,2156,47
2025,4,April,2025-04-01,1487,70
2025,5,May,2025-05-01,1802,53
2025,6,June,2025-06-01,2513,75
2025,7,July,2025-07-01,6038,75
2025,8,August,2025-08-01,5447,77
2025,9,September,2025-09-01,2608,64
2025,10,October,2025-10-01,1433,45
2025,11,November,2025-11-01,560,55
2025,12,December,2025-12-01,523,35
2026,1,January,2026-01-01,609,
2026,2,February,2026-02-01,634,
2026,3,March,2026-03-01,1145,
2026,4,April,2026-04-01,348,
